,index,genre,artist_name,track_name,track_id,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence,AudioSegments,SegDuration,SegConfidence,SegLoudnessStart,SegLoudnessMaxTime,SegLoudnessMax,SegLoudnessEnd,SegPitches0,SegPitches1,SegPitches2,SegPitches3,SegPitches4,SegPitches5,SegPitches6,SegPitches7,SegPitches8,SegPitches9,SegPitches10,SegPitches11,SegTimbre0,SegTimbre1,SegTimbre2,SegTimbre3,SegTimbre4,SegTimbre5,SegTimbre6,SegTimbre7,SegTimbre8,SegTimbre9,SegTimbre10,SegTimbre11
0,154380,Rock,Morgan Wallen,Happy Hour,2woGHWgrFfjXAgdUsitbqr,54,0.16,0.616,199840,0.836,0.0,G,0.0985,-4.2780000000000005,Major,0.0354,97.955,4/4,0.795,734.0,0.23129,0.917,-14.671,0.02685,-3.355,0.0,0.527,0.718,0.653,0.676,0.851,0.85,1.0,0.859,0.361,0.308,0.291,0.367,54.199,64.287,-3.145,-13.947,-16.138,-6.436,-40.353,2.947,-8.357,-1.499,4.901,-29.068
1,154398,Rock,Blackberry Smoke,One Horse Town,5Y36csDNfP9gRThyyveiBT,51,0.281,0.599,256147,0.7340000000000001,0.0,C,0.11900000000000001,-4.615,Major,0.0355,118.928,4/4,0.243,778.0,0.35973,0.165,-12.308,0.22754,-8.566,0.0,0.216,0.149,0.02,0.13,0.958,0.182,0.036,0.067,0.075,1.0,0.097,0.084,50.193,-9.332,-4.285,-31.956,17.356,-41.447,3.679,11.261,-19.436,4.626,1.775,7.221
2,223373,Rock,Queen,Innuendo - Remastered 2011,4bmak6Hd7NPwVrY26TjKNT,56,0.165,0.265,393027,0.7390000000000001,0.0053,C#,0.331,-5.542000000000001,Major,0.0479,148.376,4/4,0.22699999999999998,1269.0,0.3829,0.46,-11.701,0.02095,-6.369,0.0,0.148,0.099,0.072,0.237,0.08,0.161,0.242,0.306,1.0,0.217,0.153,0.091,51.57,1.643,-14.198,-27.329,-8.177,-38.92,-8.027,-16.697,16.246,12.36,3.733,-22.369
3,154389,Rock,Dierks Bentley,The Mountain,0vF1odB4L0mw7GzbAehrBR,54,0.0253,0.47100000000000003,284440,0.8390000000000001,4.31e-05,A#,0.36700000000000005,-5.455,Minor,0.0762,147.98,4/4,0.585,808.0,0.20118,0.748,-18.227,0.02228,-8.191,0.0,0.668,0.451,0.544,0.451,0.149,0.248,0.195,0.595,1.0,0.415,0.216,0.217,45.361,-30.926,-69.539,19.508,-14.008,-36.232,8.672,-29.146,-1.714,23.469,16.993,-7.049
4,166574,Rock,U2,I Still Haven't Found What I'm Looking For,6wpGqhRvJGNNXwWlPmkMyO,76,0.0157,0.5660000000000001,277477,0.7829999999999999,0.003,C#,0.0806,-9.412,Major,0.0363,100.86399999999999,4/4,0.5870000000000001,1352.0,0.12776,0.353,-31.288,0.03778,-27.504,0.0,1.0,0.512,0.051,0.04,0.032,0.067,0.156,0.075,0.509,0.327,0.776,0.222,30.765,11.111,27.395,2.344,7.294,-33.576,26.559,-6.329,27.683,8.018,-4.341,-11.71
5,222769,Rock,KISS,Beth,1cPXOzyeZauSAsT1yy7aBp,62,0.872,0.40700000000000003,165667,0.217,0.00147,C,0.17800000000000002,-13.548,Major,0.0343,115.506,4/4,0.282,481.0,0.32063,0.247,-18.042,0.17539,-13.278,0.0,0.613,0.332,1.0,0.422,0.195,0.663,0.149,0.581,0.115,0.105,0.074,0.088,44.494,42.566,70.897,-27.463,29.642,-27.088,-18.234,-8.238,-2.566,0.69,-5.224,-4.534
6,223926,Rock,The Beatles,I Feel Fine - Remastered 2015,5hhF25sWnZvXhimOHLjTRE,63,0.0904,0.564,139347,0.8270000000000001,3.73e-06,G,0.127,-7.0889999999999995,Major,0.0283,89.84700000000001,4/4,0.912,481.0,0.1907,0.608,-15.567,0.00642,-8.25,0.0,0.053,0.145,0.14,0.055,0.081,0.072,0.221,0.317,0.634,1.0,0.524,0.098,46.422,113.683,-34.871,21.591,9.453,-81.703,-6.823,41.259,8.076,-18.033,-9.359,-2.972
7,166718,Rock,Joan Jett & The Blackhearts,I Love Rock 'N Roll,2Cdvbe2G4hZsnhNMKyGrie,71,0.326,0.535,175173,0.716,0.0,E,0.659,-5.025,Major,0.0431,94.37899999999999,4/4,0.9009999999999999,546.0,0.39946,1.0,-25.295,0.10382,-3.382,0.0,0.462,0.242,0.173,0.335,0.419,0.539,0.827,0.632,0.665,0.675,0.588,1.0,47.059,30.101,83.718,-87.483,24.327,25.86,17.94,27.016,15.623,6.445,7.47,-8.594
8,155064,Rock,Fleetwood Mac,The Chain - Live 1997; 2018 Remaster,0gvgO9wprV1bxtBh7QOwsE,56,0.008,0.555,269813,0.607,0.0054,A,0.0968,-9.402999999999999,Major,0.0439,151.886,4/4,0.526,972.0,0.15079,0.041,-7.153,0.04651,-5.88,0.0,0.408,0.656,0.633,0.646,1.0,0.813,0.443,0.319,0.104,0.063,0.042,0.644,53.457,127.733,59.456,-0.709,-26.476,-30.546,16.738,16.813,-1.892,-4.824,-10.593,11.902
9,156433,Rock,Dashboard Confessional,Stolen,1fZhHANKVFNZ9W8iSh76gF,48,0.00223,0.632,199107,0.821,3.22e-06,D#,0.0501,-3.9739999999999998,Major,0.0281,101.589,4/4,0.366,561.0,0.59206,0.415,-7.645,0.0135,-1.671,0.0,0.137,0.09,0.161,0.182,0.084,0.257,0.124,0.161,1.0,0.133,0.07,0.09,56.771,78.556,30.084,-22.734,24.262,-49.151,16.742,-0.47,-8.98,7.042,-6.737,-7.514
